File,Record_Key,Field,Chinese_Content_Sample,Char_Count,Category_Type,In_Scope,Action
public/dicts/en/article/NCE_1.json,NCE1-Lesson-1 (Excuse me!),textTranslate,对不起   什么事？   这是您的手提包吗？   对不起，请再说一遍。   这是您的手提包吗？   是的，是我的。   非常感谢！,39,A (Learner-facing translation),YES,Translate to Vietnamese sentence-by-sentence
public/dicts/en/article/NCE_1.json,"NCE1-Lesson-2 (Sorry, sir.)",titleTranslate,对不起，先生,5,A (Learner-facing translation),YES,Translate to Vietnamese article title
public/dicts/en/article/NCE_1.json,"NCE1-Lesson-2 (Sorry, sir.)",textTranslate,请把我的大衣和伞拿给我。   这是我（寄存东西）的牌子。   谢谢，先生。   是5号。   这是您的伞和大衣   这不是我的伞。   对不起，先生。   这把伞是您的吗？   不，不是！   这把是,68,A (Learner-facing translation),YES,Translate to Vietnamese sentence-by-sentence
public/dicts/en/article/NCE_1.json,NCE1-Lesson-3 (Nice to meet you),titleTranslate,很高兴见到你。,6,A (Learner-facing translation),YES,Translate to Vietnamese article title
public/dicts/en/article/NCE_1.json,NCE1-Lesson-3 (Nice to meet you),textTranslate,布莱克先生：早上好。   学 生：早上好，布莱克先生。   布莱克先生：这位是索菲娅.杜邦小姐。   索菲娅是个新学生。   她是法国人。   布莱克先生：索菲娅，这位是汉斯。   他是德国人。   ,165,A (Learner-facing translation),YES,Translate to Vietnamese sentence-by-sentence
public/dicts/en/article/NCE_1.json,NCE1-Lesson-4 (Are you a teacher?),titleTranslate,你是教师吗?,5,A (Learner-facing translation),YES,Translate to Vietnamese article title
public/dicts/en/article/NCE_1.json,NCE1-Lesson-4 (Are you a teacher?),textTranslate,罗伯特：我是个新学生，我的名字叫罗伯特。   索菲娅：很高兴见到你。我的名字叫索菲娅。   罗伯特：你是法国人吗？   索菲娅：是的，我是法国人。   索菲娅：你也是法国人吗？   罗伯特：不，我不是,142,A (Learner-facing translation),YES,Translate to Vietnamese sentence-by-sentence
public/dicts/en/article/NCE_1.json,NCE1-Lesson-5 (How are you today?),titleTranslate,今天好吗？,4,A (Learner-facing translation),YES,Translate to Vietnamese article title
public/dicts/en/article/NCE_1.json,NCE1-Lesson-5 (How are you today?),textTranslate,史蒂文：你好，海伦   海 伦：你好，史蒂文   史蒂文：你今天好吗？   海 伦：很好，谢谢你。你好吗？   史蒂文：很好，谢谢。   史蒂文：托尼好吗？   海 伦：他很好，谢谢。埃玛好吗？   ,94,A (Learner-facing translation),YES,Translate to Vietnamese sentence-by-sentence
public/dicts/en/word/CET4_T.json,"2,607 word records (4916 instances)",trans.cn,取消（计划好的事情）；终止，废除；盖销，注销；（因素，情况）抵消，对消,104703,A (Learner-facing translation),YES,Translate Chinese gloss to Vietnamese
public/dicts/en/word/CET4_T.json,"2,607 word records (7808 instances)",sentences.cn,顾客打电话来取消了。,103291,A (Learner-facing translation),YES,Translate Chinese sentence translation to Vietnamese
public/dicts/en/word/CET4_T.json,"2,607 word records (4927 instances)",phrases.cn,取消按钮,30487,A (Learner-facing translation),YES,Translate Chinese phrase translation to Vietnamese
public/dicts/en/word/CET4_T.json,"2,607 word records (4173 instances)",synos.cn,[计]取消；删去,33697,C (Mixed POS/translation),YES,Translate Chinese synonym gloss to Vietnamese
public/dicts/en/word/CET4_T.json,"2,607 word records (12435 instances)",relWords.cn,取消；删除,102328,C (Mixed POS/translation),YES,Translate Chinese related word gloss to Vietnamese
public/dicts/en/word/CET4_T.json,"2,607 word records (4399 instances)",etymology.t,cancel:（撤销）：古罗马抄写员表示笔误的叉,25511,B (Learner-facing explanation),YES,Translate etymology title to Vietnamese
public/dicts/en/word/CET4_T.json,"2,607 word records (4755 instances)",etymology.d,"中世纪罗马抄写员在抄写出现笔误时就会打上一个叉，表示撤销。多个叉连在一起就成了XXXX，就像斜方栏杆一样。这种斜方栏杆在拉丁文中就是cancelli。后来演变成了英语中的cancel，表示“撤销”。
",158499,B (Learner-facing explanation),YES,Translate etymology essay to Vietnamese
app/pages/doc.vue,"categories (51 resources, 40 categories/subcategories)","name, description, difficulty",经典英语教材，适合系统学习 / 新概念资源合集,640,B & D (Resource descriptions & metadata),YES (Tier 2/3) or REPLACE,Translate resource descriptions or curate VN-relevant learning resources
app/core/stores/base.ts,getDefaultBaseState (system virtual dicts),"name, description (wordCollect, wordWrong, wordKnown, articleCollect)","收藏, 错词, 已掌握, 已掌握后的单词不会出现在练习中",28,D (System metadata),YES,Bind to i18n () keys or provide Vietnamese strings in state
app/core/config/env.ts,"SoundFileOptions, WordPracticeStageNameMap, WordPracticeModeNameMap","label, map values","机械键盘, 跟写新词, 自测新词, 听写新词, 自由练习",58,D (Study mode metadata),YES,Bind to i18n () keys or provide localized maps
public/libs/xlsx.full.min.js,Vendor library,code,Vendor bundled XLSX parser,52816,E / F (External third-party vendor code),NO,Leave unchanged
i18n/locales/vi.json,"cn_limit_no1, cn_limit_no2",ICP License string,川公网安备51015602001426号 / 蜀ICP备2025157466号-2,23,F (Legal / regulatory registration),NO,Leave unchanged (statutory ICP requirement in China)
